Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,Genres,CoverUrl
218319936,The Nvidia Way: Jensen Huang and the Making of a Tech Giant,Tae   Kim,"Kim, Tae",,"=""1324086726""","=""9781324086727""",0,4.32,W. W. Norton & Company,Kindle Edition,268,2024,,,2025/12/27,to-read,to-read (#318),to-read,,,,0,0,,https://books.google.com/books/content?id=YjoeEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api|https://covers.openlibrary.org/b/isbn/9781324086727-L.jpg
53443339,"Troy (Stephen Fry's Great Mythology, #3)",Stephen Fry,"Fry, Stephen",,"=""0241424585""","=""9780241424582""",0,4.35,Michael Joseph,Hardcover,414,2020,2020,2025/12/20,2023/01/16,,,read,,,,1,0,Religion; Classical philology; Trojan War; Legends; Greek Mythology,https://covers.openlibrary.org/b/isbn/9780241424582-L.jpg
679418,Cable Cowboy,Mark Robichaux,"Robichaux, Mark",,"=""047170637X""","=""9780471706373""",0,4.25,Wiley,Paperback,336,2005,2002,,2024/02/13,currently-reading,currently-reading (#3),currently-reading,,,,1,0,Biography; Business; Businessmen; Cable television; Nonfiction,https://covers.openlibrary.org/b/id/306433-L.jpg|https://covers.openlibrary.org/b/isbn/9780471706373-L.jpg
223239535,"Conform (Conform, #1)",Ariel Sullivan,"Sullivan, Ariel",,"=""""","=""9798217090990""",0,4.14,Ballantine Books,Hardcover,416,2025,2025,2025/12/03,2025/12/01,,,read,,,,1,0,,https://books.google.com/books/content?id=RCc8EQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api|https://covers.openlibrary.org/b/isbn/9798217090990-L.jpg
24611668,Saturn Run,John Sandford,"Sandford, John",Ctein,"=""0399176950""","=""9780399176951""",0,3.92,G.P. Putnam's Sons,Hardcover,486,2015,2015,,2025/11/26,to-read,to-read (#317),to-read,,,,0,0,nyt:combined-print-and-e-book-fiction=2015-10-25; New York Times bestseller; Quests (Expeditions); Fiction; nyt:hardcover-fiction=2015-10-25,https://covers.openlibrary.org/b/id/8740602-L.jpg|https://covers.openlibrary.org/b/isbn/9780399176951-L.jpg
58733693,Remarkably Bright Creatures,Shelby Van Pelt,"Pelt, Shelby Van",,"=""0063204150""","=""9780063204157""",0,4.36,Ecco,Hardcover,368,2022,2022,2025/11/23,2025/11/18,,,read,,,,1,0,nyt:hardcover-fiction=2022-05-22; New York Times bestseller; Octopuses; Fiction; Widows,https://covers.openlibrary.org/b/id/14809692-L.jpg|https://covers.openlibrary.org/b/isbn/9780063204157-L.jpg
56783258,Cloud Cuckoo Land,Anthony Doerr,"Doerr, Anthony",,"=""1982168439""","=""9781982168438""",0,4.25,Scribner,Hardcover,626,2021,2021,2025/11/23,2025/04/03,,,read,,,,1,0,"American literature; nyt:combined-print-and-e-book-fiction=2021-10-17; New York Times bestseller; Fiction, historical, medieval; Fiction, multiple timelines",https://covers.openlibrary.org/b/id/13253465-L.jpg|https://covers.openlibrary.org/b/isbn/9781982168438-L.jpg
54736620,"Ask Iwata: Words of Wisdom from Satoru Iwata, Nintendo's Legendary CEO",Satoru Iwata,"Iwata, Satoru",Hobonichi,"=""197472154X""","=""9781974721542""",0,4.14,VIZ Media LLC,Hardcover,154,2021,2021,,2025/11/21,to-read,to-read (#316),to-read,,,,0,0,Economics,https://covers.openlibrary.org/b/id/10332879-L.jpg|https://covers.openlibrary.org/b/isbn/9781974721542-L.jpg
299758,The Citadel of the Autarch,Gene Wolfe,"Wolfe, Gene",,"=""0671496662""","=""9780671496661""",0,4.25,Timescape Books,Paperback,330,1983,1983,,2025/11/21,to-read,to-read (#315),to-read,,,,0,0,"Science fiction; American Science fiction; Fiction, science fiction, general",https://covers.openlibrary.org/b/id/6902571-L.jpg|https://covers.openlibrary.org/b/isbn/9780671496661-L.jpg
199736113,The Slight Edge: Turning Simple Disciplines into Massive Success and Happiness,Jeff Olson,"Olson, Jeff",,"=""""","=""""",0,4.37,Greenleaf Book Group,Audible Audio,,2023,,,2025/08/04,to-read,to-read (#272),to-read,,,,0,0,,
